categorie;nom_recette;ingredients;preparation;nb_etape
dessert;Pâte à crêpes;"['300 g de farine  ', '3 oeuf entiers ', '3 cuillère à soupe de sucre  ', ""2 cuillère à soupe d'huile  "", '50 g de beurre fondu ', '60 cl de lait  ', '5 cl de rhum  ']"; Mettre la farine dans une terrine et former un puits.  Y déposer les oeufs entiers, le sucre, l'huile et le beurre. Mélanger délicatement avec un fouet en ajoutant au fur et à mesure le lait. La pâte ainsi obtenue doit avoir une consistance d'un liquide légèrement épais.  Parfumer de rhum. Faire chauffer une poêle antiadhésive et la huiler très légèrement. Y verser une louche de pâte, la répartir dans la poêle puis attendre qu'elle soit cuite d'un côté avant de la retourner. Cuire ainsi toutes les crêpes à feu doux.;5
dessert;Gâteau au yaourt;"['1/2 paquet de levure chimique  ', '1 pot de yaourt nature  ', ""1/2 pot d'huile de colza  "", '2 pot de sucre semoule  ', '3 pot de farine  ', '2 oeuf  ', '1 zeste de citron jaune ']"; Préchauffer le four à 180°C (thermostat 6).Mélanger tout simplement les ingrédients un à un en suivant l'ordre suivant : levure, yaourt huile sucre  farine oeuf et zeste Beurrer un moule à manquer et y verser la pâte. Enfourner pour environ 30 minutes de cuisson. Vérifier la cuisson avec la pointe d'un couteau (elle doit ressortir sèche).;9
dessert;Gâteau au chocolat fondant rapide;['200 g de chocolat à pâtisser noir ', '100 g de beurre + une noix pour le moule ', '3 oeuf  ', '50 g de farine  ', '100 g de sucre en poudre  ']; Préchauffez votre four à 180°C (thermostat 6).Dans une casserole, faites fondre le chocolat et le beurre coupé en morceaux à feu très doux. Dans un saladier, ajoutez le sucre, les oeufs, la farine. Mélangez.  Ajoutez le mélange chocolat/beurre. Mélangez bien. Beurrez et farinez votre moule puis y versez la pâte à gâteau. Faites cuire au four environ 20 minutes.  A la sortie du four le gâteau ne paraît pas assez cuit. C'est normal, laissez-le refroidir puis démoulez- le.;6
dessert;Pâte à crêpes simple;"['5 oeuf  ', '500 g de farine  ', '1 l de lait demi-écrémé  ', ""3 cuillère à soupe d'huile  "", '1/2 verre de bière  ']"; Dans un saladier verser la moitié de la farine, puis rajouter les oeufs un à un, rajouter ensuite un peu de lait puis de la farine puis à nouveau du lait et ainsi de suite.  Enfin rajouter l'huile et la bière.  Laisser reposer 1 heure, votre pâte est prête.;3
dessert;Pancakes;['250 g de farine  ', '30 g de sucre semoule  ', '2 oeuf  ', '1 sachet de levure traditionnelle ', '65 g de beurre doux  ', '1 pincée de sel  ', '30 cl de lait  ']; Faire fondre le beurre, dans une casserole à feu doux ou dans un bol au micro-ondes.  Mettre la farine, la levure et le sucre dans un saladier. Mélanger et creuser un puits.   Ajouter ensuite les oeufs entiers et fouetter l'ensemble. Incorporer le beurre fondu, fouetter puis délayer progressivement le mélange avec le lait afin d'éviter les grumeaux. Laisser reposer la pâte au minimum 1 heure au réfrigérateur. Dans une poêle chaude et légèrement huilée, faire cuire comme des crêpes, mais en les faisant plus petites. Réserver au chaud et déguster.;6
dessert;Tiramisu (recette originale);['3 oeuf  ', '100 g de sucre roux  ', '1 sachet de sucre vanillé  ', '250 g de mascarpone  ', '24 biscuit à la cuillère  ', '50 cl de café noir non sucré ', '30 g de cacao amer  ']; Séparer les blancs des jaunes d'oeufs. Mélanger les jaunes avec le sucre roux et le sucre vanillé.  Ajouter le mascarpone au fouet. Monter les blancs en neige et les incorporer délicatement à la spatule au mélange précédent. Réserver. Mouiller les biscuits dans le café rapidement avant d'en tapisser le fond du plat. Recouvrir d'une couche de crème au mascarpone puis répéter l'opération en alternant couche de biscuits et couche de crème en terminant par cette dernière. Saupoudrer de cacao. Mettre au réfrigérateur 4 heures minimum puis déguster frais.;8
dessert;Cookies maison;['85 g de beurre mou ', '1 oeuf  ', '85 g de sucre  ', 'Vanille ou 1 sachet de sucre vanillé ', '150 g de farine  ', '100 g de chocolat noir  ', '1 cuillère à café de sel  ', '1 cuillère à café de levure chimique  '];" Détailler le chocolat en pépites. Préchauffer le four à 180°C (thermostat 6).Dans un saladier, mettre 75 g de beurre, le sucre, l'oeuf entier, la vanille et mélanger le tout. Ajouter petit à petit la farine mélangée à la levure, le sel et le chocolat. Beurrer une plaque allant au four et former les cookies sur la plaque. Pour former les cookies, utiliser 2 cuillères à soupe et faire des petits tas espacés les uns des autres; ils grandiront à la cuisson. Enfourner pour 10 minutes de cuisson.";6
dessert;Fondant au chocolat;['200 g de chocolat à cuire ', '100 g de beurre doux  ', '100 g de sucre semoule  ', '5 oeuf  ', '4 cuillère à soupe de farine  '];" Préchauffer le four à 180°C (thermostat 6).Faire fondre le chocolat et le beurre au bain-marie à feu doux, ou au micro-ondes sur le programme ""décongélation"". Pendant ce temps, séparer les jaunes des blancs d'oeuf. Monter les blancs en neige ferme. Réserver.  Quand le mélange chocolat-beurre est bien fondu, ajouter les jaunes d’oeufs et fouetter.  Incorporer le sucre et la farine, puis ajouter les blancs d’oeufs sans les casser.  Beurrer et fariner un moule à manqué et y verser la pâte à gâteau. Enfourner pendant 20 minutes. Quand le gâteau est cuit, le laisser refroidir avant de le démouler. ";8
dessert;Mousse au chocolat facile;['3 oeuf  ', '100 g de chocolat (noir ou au lait) ', '1 sachet de sucre vanillé  ']; Séparer les blancs des jaunes d'oeufs. Faire ramollir le chocolat dans une casserole au bain-marie. Hors du feu, incorporer les jaunes et le sucre. Battre les blancs en neige ferme et les ajouter délicatement au mélange à l'aide d'une spatule. Verser dans une terrine ou des verrines  et mettre au frais 1 heure ou 2 minimum. Décorer de cacao ou de chocolat râpé Déguster;9
dessert;Gaufres faciles et légères;['200 g de farine  ', '30 g de sucre  ', '3 oeuf  ', '20 g de beurre  ', '25 cl de lait  ', '1 pincée de sel  ']; Mettre la farine dans un saladier, y ajouter le sucre, les jaunes d'œufs et le beurre ramolli.  Délayer peu à peu le tout en y ajoutant le lait pour qu'il n'y ait pas de grumeaux.  Battre les blancs en neige avec une pincée de sel et les ajouter au restant en remuant délicatement. Cuire le tout dans un gaufrier légèrement beurré. Bon appétit !!;5
