categorie;nom_recette;ingredients;preparation;nb_etape
entree;Tacos mexicains;"['8 tortilla pour tacos (achetés, ou recette sur le site Marmiton) ', '1 oignon blanc  ', '2 tomate  ', '1 verre de coulis de tomate (10 cl) ', '250 g de boeuf haché  ', ""1 petite boîte d'haricots rouges  "", '1/2 poivron vert  ', '8 feuille de laitue  ', 'Cumin en poudre  ', 'Poivre  ', 'Sel  ', 'Tabasco (facultatif) ']";" A la poêle, faire dorer l'oignon émincé dans un peu d'huile d'olive.  Rajouter la viande, assaisonner et laisser cuire 5 min.  Laver les feuilles de laitue.  Couper les tomates et le poivron en petits dés.  Incorporer le tout à la poêlée avec le coulis de tomate, et poursuivre la cuisson pendant 5 min.  Egoutter les haricots rouges et les ajouter 2 min avant la fin de cuisson.  Hors du feu, ajuster l'assaisonnement et saupoudrer généreusement de cumin; on peut aussi rajouter quelques gouttes de Tabasco.  Garnir les tortillas de préparation et les refermer en les roulant comme des crêpes. Disposer 1 feuille de laitue sur chaque tacos avant de servir.";8
entree;Velouté de Potiron et Carottes;"['1 kg de potiron  ', '500 g de carotte  ', '2 pomme de terre  ', ""1 gousse d'ail  "", '1 oignon  ', '1/2 l de lait  ', '1/2 l de bouillon de volaille  ', ""1 cuillère à soupe d'huile d'olive  "", 'Persil  ', 'Poivre  ', 'Sel  ', 'Muscade  ', '10 cl de crème liquide (facultatif) ']";" Éplucher et couper en dés le potiron, les pommes de terre, les carottes en rondelles.  Emincer l'ail et l'oignon.  Faire suer l'oignon dans l'huile d'olive.  Ajouter tous les légumes et l'ail puis verser le bouillon et le lait.  Saler, poivrer, ""muscader"" et laisser cuire environ une trentaine de minutes.  Mixer le tout (ajouter éventuellement la crème) et rectifier l'assaisonnement si nécessaire.  Bon appétit !";7
entree;Pain (rapide);"['500 g de farine type 55 ', '1 sachet de levure de boulangerie en granulés à temps de levée réduite ', ""1.5 verre d'eau chaude "", '1 cuillère à café de sel  ', ""1 cuillère à soupe d'huile d'olive  ""]"; Mélangez la farine, l'huile d'olive, le sachet de levure, le sel et ajoutez l'eau. Malaxez jusqu'à l'obstention d'une pâte homogène. Le geste est important: faites comme si vous étiez en train de plier un mouchoir avec la pâte. Attention la pâte ne doit pas coller à la paroi! Rajoutez de la farine si elle colle, ou de l'eau si elle est trop sèche. Prenez un moule à cake et tapissez de papier cuisson, mettez le pain, faites les croisillons avec un couteau pointu. Prenez  un torchon propre, mouillez-le et mettez-le sur le pain. Attendez une heure que la pâte soit levée.Pendant ce temps-là, préchauffez le four à thermostat 7 ou à 220°C pendant 20 mn environ. Enfournez pendant 40 mn.;6
entree;Flan de courgettes;['1 kg de courgette  ', '100 g de gruyère râpé (60 g de gruyère + 40 g de parmesan) ', '8 cuillère de lait  ', '6 oeuf  ', '20 feuille de basilic  '];" Couper les courgettes en très fines rondelles. Les faire revenir dans de l'huile d'olive. Saler, poivrer, cuire environ 10 mm à petit feu.  Battre les oeufs et ajouter le fromage + sel + poivre + basilic + lait.  Jeter la préparation sur les courgettes. Remuer. NE PAS FAIRE PRENDRE ""L'OMELETTE"".  Mettre au four 180°C pendant 35 mn.  SERVIR FROID OU CHAUD avec une sauce mayonnaise + ketchup hot. ";5
entree;Gaspacho au Thermomix;"['5 tomate bien mûres (hors saison, prendre des tomates pelées en boîte) ', '1 cuillère à soupe de concentré de tomates  ', '1 poivron rouge  ', '1/2 concombre  ', '1 oignon  ', ""1 gousse d'ail  "", '1 pincée de piment d’Espelette (facultatif) ', '1 tranche de pain de mie  ', '2 cuillère à soupe de vinaigre de xérès (ou de vinaigre de cidre) ', ""2 cuillère à soupe d'huile d'olive  "", 'Poivre  ', 'Sel  ', '1 cuillère à café de sucre (si les tomates ne sont pas assez sucrées) ']"; Éplucher les tomates (facultatif), un demi-concombre, un oignon, une gousse d’ail, ainsi que le poivron, puis les placer dans le bol du Thermomix. Mixer 1 minute à vitesse 8 (bien tenir le Thermomix car avec tout ça, il risque de bouger un peu), puis 1 minute à vitesse 5. Rajouter le pain, l’huile, le vinaigre, le piment et le sel. Mixer 30 secondes à vitesse 8. Rajouter de l’eau jusqu’à obtenir la consistance qui vous plaît. Goûter, puis rectifier l’assaisonnement (plus de sel, ou un peu de sucre si les tomates ne sont pas assez sucrées). Mixer à 20 secondes à vitesse 8 et goûter à nouveau. Recommencer jusqu’à obtenir le goût et la consistance souhaités.;6
entree;Falafel (croquettes de pois chiches);"['200 g de pois chiches  ', '500 g de fève sèches ', '1 oignon moyen ', ""2 gousse d'ail  "", '1 bouquet de persil  ', '3 cuillère à soupe de farine  ', '1 cuillère à café de cumin en poudre  ', '1 cuillère à café de coriandre en poudre ', '1 cuillère à café de paprika  ', '3 cuillère à soupe de basilic frais haché ', 'Sel  ', 'Huile de friture  ']"; 1) faites tremper les pois chiches et les fèves dans l'eau 12 h, les égoutter et les cuire 45 mn à l'auto cuiseur.  2) peler oignon et ail, les hacher ainsi que le persil.  Passer les fèves et les pois chiches au mixer (ou robot).  Mélanger avec le persil, l'oignon, l'ail, la farine, les épices, le sel.  Pétrissez le tout avec vos mains en ajoutant un peu d'eau si nécessaire.  Rassemblez la pâte et laisser reposer au réfrigérateur pendant minimum 30 mn.  3) façonner une trentaine de boulettes de la grosseur d'une pièce de 2 euros.  Les faire frire 2/3 mn puis les égoutter sur du papier absorbant.  Servir chaud ou froid avec des petites sauces tomates aux herbes, ou sauces yaourts.;9
entree;Salade César;"['2 coeur de laitue effeuillé ', '25 g de parmesan (copeaux) ', '4 tranche de pain écroûtées ', ""2 cuillère à soupe d'huile  "", '1 oeuf  ', '25 g de parmesan râpé  ', '2 cuillère à café de câpres  ', '1/2 cuillère à café de moutarde  ', '1 trait de tabasco  ', 'Citron  ', ""1 gousse d'ail pelée "", ""15 cl d'huile  "", 'Poivre  ', 'Sel  ']";" Faites dorer le pain, coupé en cubes, 3 min dans un peu d'huile.  Déchirez les feuilles de romaine dans un saladier, et ajoutez les croûtons préalablement épongés dans du papier absorbant.  Préparez la sauce :Faites cuire l'oeuf 1 min 30 dans l'eau bouillante, et rafraîchissez-le. Cassez-le dans le bol d'un mixeur et mixez, avec tous les autres ingrédients; rectifiez l'assaissonnement et incorporez à la salade.  Décorez de copeaux de parmesan, et servez.";5
entree;Quiche au thon;['1 pâte feuilletée  ', '1 boîte de thon  ', '2 tomate  ', 'Gruyère (quantité selon vos goûts) ', '4 oeuf  ', '1/2 pot de crème fraîche et un peu de lait ', 'Moutarde  ', 'Poivre  ', 'Sel  ']; Placer la pâte dans un moule et la piquer avec une fourchette.  Badigeonner le fond avec de la moutarde.  Écraser le thon puis le placer sur la pâte.  Couper les tomates en tranches et les placer sur le thon.  Mélanger les œufs, la crème et le lait (et du gruyère selon les goûts), avec sel et poivre, puis verser sur la pâte (ça doit recouvrir le thon et les tomates).  Recouvrir le tout de gruyère....  Cuire au four à 200°C pendant 20 à 25 min.;7
entree;Tarte au thon;['1 pâte feuilletée  ', '130 g de thon  ', '2 tomate  ', '6 cuillère à soupe de crème fraîche  ', '100 g de gruyère râpé  ']; Etaler une pâte feuilletée  Sur laquelle on émiette une grosse boîte de thon. Couper des tomates en rondelle et les disposer par-dessus le thon. Sur chaque rondelle de tomate, ajouter une peu de crème fraîche et enfin du fromage râpé. Faire cuire à four chaud environ 30 minutes.Se mange aussi bien chaud que froid.;6
entree;Salade de riz d'été facile;"['500 g de riz blanc (ou aromatisé) ', '200 g de thon au naturel ', '2 tomate  ', ""2 cuillère à soupe d'olive verte dénoyautées "", '2 oeuf durs ', '300 g de maïs  ', ""2 cuillère à soupe d'huile de noix  "", '1 cuillère à soupe de vinaigre de xérès  ', '1 pincée de curry  ', 'Poivre  ', 'Sel  ']"; Cuire le riz à l'eau bouillante salée. Une fois cuit, le rincer à l'eau froide pour enlever l'amidon. Quand le riz est froid, ajouter les oeufs coupés en lamelles, les tomates en dés, les olives, le maïs et le thon en miettes. Réserver au réfrigérateur puis servir frais.;4
entree;Gaspacho (Andalousie);"['9 tomate bien mûres ', '1.5 poivron rouge  ', '1.5 poivron vert  ', '1.5 concombre  ', '1 oignon  ', ""1 gousse d'ail  "", '4 oignon nouveau  ', '2 cuillère à soupe de vinaigre de xérès  ', '1 tranche de pain de mie  ', '2 oeuf durs ', 'Basilic frais  ', ""Huile d'olive  "", 'Poivre et piment ', 'Sel  ']"; Couper les tomates, 1 poivron vert et un rouge, 1 concombre, l'oignon et l'ail, passer le tout au mixer. Ajouter le pain de mie, mixer une nouvelle fois. Assaisonner avec sel,poivre, 4 cuillères à soupe d'huile d'olive, 2 cuillères à soupe de vinaigre de Xérès et de piment (selon les goûts). Laisser reposer au frais au minimum 2 heures. Détailler en petits dés poivrons et concombre restants ainsi que les oignons nouveaux. Ecraser les oeufs durs à la fourchette. Parsemer la soupe de basilic ciselé. Disposer les garnitures dans des ramequins et chacun accommodera son gaspacho selon ses goûts.;6
