categorie;nom_recette;ingredients;preparation;nb_etape
plat;Quiche lorraine;['200 g de pâte brisée  ', '200 g de lardons  ', '30 g de beurre  ', '3 oeuf  ', '20 cl de crème fraîche  ', '20 cl de lait  ', 'Muscade  ', 'Sel  ', 'Poivre  ']; Préchauffer le four à 180°C (thermostat 6).Etaler la pâte dans un moule, la piquer à la fourchette. Parsemer de copeaux de beurre. Faire rissoler les lardons à la poêle. Battre les oeufs, la crème fraîche et le lait. Ajouter les lardons. Assaisonner de sel, de poivre et de muscade.  Verser sur la pâte. Cuire 45 à 50 min. C'est prêt Déguster;10
plat;Tomates farcies au Thermomix;"['8 tomate moyennes (ou 4 grosses) ', '500 g de chair à saucisse (ou 300 g + 200 g de boeuf haché ou de restes de viande cuite type rôti ou poulet) ', '2 oignon  ', '2 échalote  ', ""2 gousse d'ail  "", ""1 bouquet d'herbes fraîches (menthe, persil, ciboulette, basilic, selon ce que vous avez sous la main) "", '2 tranche de pain de mie ou de pain mou ', '20 cl de lait  ', ""2 cuillère à soupe d'huile d'olive  "", 'Sel  ', ""250 g de riz blanc pour l'accompagnement ""]";" Faire tremper le pain de mie dans le lait 5 min. Placer dans le bol du Thermomix : le pain sorti du lait, 1 oignon épluché, les échalotes épluchées, la gousse d'ail épluchée, les 2/3 des herbes lavées et un peu de sel. Mixer 20 secondes à vitesse 8. Ajouter la viande et mixer 20 secondes à vitesse 8. Vérifier que la farce est homogène en allant voir au fond du bol avec une spatule. Si besoin, mixer à nouveau 10 secondes. Couper le haut de chaque tomate et l'évider dans un saladier (une cuillère parisienne est idéale pour ce travail, mais sinon on peut le faire avec une cuillère à café). Mettre un peu de sel au fond des tomates et les disposer dans le plat de cuisson. Garnir les tomates avec la farce et remettre le ""petit chapeau"" sur chacune. Placer au four préchauffé à 180°C pendant une demi-heure environ. Nettoyer le bol du Thermomix et placer dedans le reste des herbes, le second oignon épluché, l'huile d'olive et du sel. Mixer 10 secondes à vitesse 8, puis 5 min à vitesse 4 en chauffant à 100°C. Ajouter la chair des tomates, mixer 10 secondes à vitesse 8, puis cuire à 80°C et à vitesse 3 pendant  10 min. Goûter (sans vous brûler !) et ajuster l'assaisonnement si besoin. Servir les tomates à la sortie du four, avec la sauce tomate et un riz blanc.";14
plat;La vraie Tartiflette;"['1 kg de pomme de terre  ', '200 g de lardons fumés  ', ""200 g d'oignon émincés "", ""1 reblochon bien fait (lorsqu'on appuie sur le côté du reblochon, le doigt doit s'enfoncer un peu) "", ""2 cuillère à soupe d'huile  "", ""1 gousse d'ail  "", 'Sel  ', 'Poivre  ']"; Eplucher les pommes de terre, les couper en dés, bien les rincer et les essuyer dans un torchon propre. Faire chauffer l'huile dans une poêle, y faire fondre les oignons. Lorsque les oignons sont fondus, ajouter les pommes de terre et les faire dorer de tous les côtés. Lorsqu'elles sont dorées, ajouter les lardons et finir de cuire.  D'autre part, gratter la croûte du reblochon et le couper en deux (ou en quatre).  Préchauffer le four à 200°C (thermostat 6-7) et préparer un plat à gratin en frottant le fond et les bords avec la gousse d'ail épluchée. Dans le plat à gratin, étaler une couche de pommes de terre aux lardons, disposer dessus la moitié du reblochon, puis de nouveau des pommes de terre. Terminer avec le reste du reblochon (croûte vers les pommes de terre). Enfourner pour environ 20 minutes de cuisson. ;8
plat;Blanquette de veau facile;"['1 kg de veau (pour blanquette) ', '1 cube de bouillon de légumes ', '1 bouillon de poule  ', '2 carotte  ', '1 oignon jaune  ', '1 petite boîte de champignon (coupés) ', '1 petit pot de crème fraîche  ', 'Citron  ', ""1 jaune d'oeuf  "", 'Farine  ', '25 cl de vin blanc  ', 'Sel  ', 'Poivre  ']"; Faire revenir la viande dans un peu de beurre doux jusqu'à ce que les morceaux soient un peu dorés. Saupoudrer de 2 cuillères de farine. Bien remuer. Ajouter 2 ou 3 verres d'eau, les cubes de bouillon, le vin et remuer. Ajouter de l'eau si nécessaire pour couvrir. Couper les carottes en rondelles et émincer les oignons puis les incorporer à la viande, ainsi que les champignons.  Laisser mijoter à feu très doux environ 1h30 à 2h00 en remuant.  Si nécessaire, ajouter de l'eau de temps en temps.  Dans un bol, bien mélanger la crème fraîche, le jaune d’oeuf et le jus de citron. Ajouter ce mélange au dernier moment, bien remuer et servir tout de suite.;7
plat;Gratin Dauphinois;"['1.5 kg de pomme de terre  ', ""2 gousse d'ail  "", '30 cl de crème  ', '100 g de beurre  ', '1 l de lait  ', 'Muscade  ', 'Sel  ', 'Poivre  ']"; Eplucher, laver et couper les pommes de terre en rondelles fines (NB : ne pas les laver APRES les avoir coupées, car l'amidon est nécessaire à une consistance correcte). Hacher l'ail très finement. Porter à ébullition dans une casserole le lait, l'ail, le sel, le poivre et la muscade puis y plonger les pommes de terre et laisser cuire 10 à 15 min, selon leur fermeté. Préchauffer le four à 180°C (thermostat 6) et beurrer un plat à gratin. Placer les pommes de terre égouttées dans le plat. Les recouvrir de crème, puis disposer des petites noix de beurre sur le dessus. Enfourner pour 50 min à 1 heure de cuisson.;6
plat;Lasagnes à la bolognaise;"['1 paquet de pâtes de lasagnes ', '3 oignon jaune  ', ""2 gousse d'ail  "", '1 branche de céleri  ', '1 carotte  ', '600 g de viande de boeuf hachée ', '800 g de purée de tomate  ', ""15 cl d'eau  "", '20 cl de vin rouge  ', '2 feuille de laurier  ', 'Thym  ', 'Basilic  ', '3 pincée de muscade râpée ', '70 g de fromage râpé  ', '125 g de parmesan  ', 'Sel  ', 'Poivre  ', '100 g de farine  ', '100 g de beurre doux  ', '1 l de lait  ', '25 g de beurre doux  ']"; Faire revenir gousses hachées d'ail et les oignons émincés dans un peu d'huile d'olive. Ajouter la carotte et la branche de céleri hachée puis la viande et faire revenir le tout. Au bout de quelques minutes, ajouter le vin rouge. Laisser cuire jusqu'à évaporation. Ajouter la purée de tomates, l'eau et les herbes.Saler, poivrer, puis laisser mijoter à feu doux 45 minutes. Préparer la béchamel : faire fondre le beurre. Hors du feu, ajouter la farine d'un coup. Remettre sur le feu et remuer avec un fouet jusqu'à l'obtention d'un mélange bien lisse.  Ajouter le lait peu à peu. Remuer sans cesse, jusqu'à ce que le mélange s'épaississe. Ensuite, parfumer avec la muscade, saler, poivrer. Laisser cuire environ 5 minutes, à feu très doux, en remuant. Réserver. Préchauffer le four à 200°C (thermostat 6-7).Huiler le plat à lasagnes. Poser une fine couche de béchamel puis des feuilles de lasagnes, de la bolognaise, de la béchamel et du parmesan.Répéter l'opération 3 fois de suite. Sur la dernière couche de lasagnes, ne mettre que de la béchamel et recouvrir de fromage râpé. Parsemer quelques noisettes de beurre. Enfourner pour environ 25 minutes de cuisson. Déguster;14
plat;Boeuf bourguignon;['600 g de bourguignon  ', '4 oignon  ', '4 carotte  ', '1 bouquet garni  ', '1 bouteille de vin rouge assez bon ', '100 g de beurre  ', 'Sel  ', 'Poivre  ']; Détailler la viande en cubes de 3 cm de côté, enlever les gros morceaux de gras.  Couper l'oignon en morceaux. Le faire revenir dans une poêle au beurre. Une fois transparent, le verser dans une cocotte en fonte de préférence.  Procéder de même avec la viande mais en plusieurs fois, jusqu'à ce que tous les morceaux soient cuits. Les ajouter au fur et à mesure dans la cocotte. Ne pas avoir peur d'ajouter du beurre entre chaque fournée.  Quand toute la viande est dans la cocotte, déglacer la poêle avec de l'eau ou du vin et faire bouillir en raclant pour récupérer le suc. Saler, poivrer, ajouter au reste.  Recouvrir le tout avec une partie du vin et faire mijoter quelques heures avec le bouquet garni et les carottes en rondelles.  Le lendemain, faire mijoter au moins 2 heures en plusieurs fois, ajouter du vin ou de l'eau si nécessaire.;6
plat;couscous;"['1 kg de semoule moyen ', '1 cuillère à soupe de sel  ', 'Poivre  ', ""4 cuillère à soupe d'huile  "", '50 g de beurre  ', '4 carotte  ', '1.5 kg de navet  ', '1 boîte de pois chiches  ', '4 courgette moyennes ', ""1.5 kg de viande (boeuf bourguignon ou collier d'agneau et autre morceau agneau) "", '2 oignon  ', ""2 gousse d'ail  "", '1 boîte de sauce tomate concentrée ', ""1 cuillère à café d'harissa  ""]"; Préparation de la semoule : Verser la semoule dans un grand récipient et la noyer avec l'eau. Remuer doucement. Égoutter la semoule quand l'eau devient blanche Laisser reposer 15-20 mn (30 maxi), saler (1 cuillère à soupe rase), huiler (1 cuillère à soupe). Malaxer pour briser les mottes. Cuisson de la semoule : Dans une couscoussière de 5 litres, remplir à moitié d'eau la partie basse et verser la semoule dans la partie haute (ne pas mettre de couvercle). Rendre hermétique si possible la couscoussière au niveau de la jonction des 2 parties afin d'éviter l'évaporation de la vapeur. Compter une cuisson de 20 min à partir de l'apparition de la vapeur à travers la semoule. Verser la semoule dans un récipient, remuer doucement avec une cuillère en bois pour briser les mottes, ajouter 50 g de beurre et mélanger doucement. Légumes et viandes : Mettre dans une grande casserole 3 c à soupe d'huile, faire revenir les 2 oignons, les 2/3 gousses d'ail et faire dorer la viande. Saler, poivrer, ajouter les carottes en rondelles. Laisser cuire à feu doux 15 min. Ajouter le concentré de tomate puis 2 litres d'eau bouillante. Laisser cuire 20 min. Pendant cet temps, cuire à part dans l'eau salée les navets en morceaux pendant 20 min. Ajouter 5 min avant la fin les courgettes en rondelles. Égoutter en fin de cuisson. Quand la viande est cuite, y ajouter les navets et courgettes et les pois chiches. Laisser cuire le tout 5 à 10 min. Assaisonnement (facultatif) : Retirer 1 louche du jus de cuisson de la viande, ajouter 1 cuillère à café de harissa. La servir à part.;19
plat;Ratatouille;"[""350 g d'aubergine  "", '350 g de courgette  ', '350 g de poivron de couleur rouge et vert ', ""350 g d'oignon  "", '500 g de tomate bien mûres ', ""3 gousse d'ail  "", ""6 cuillère à soupe d'huile d'olive  "", '1 brin de thym  ', '1 feuille de laurier  ', 'Poivre  ', 'Sel  ']"; Coupez les tomates pelées en quartiers, les aubergines et les courgettes en rondelles. Emincez les poivrons en lamelles et l'oignon en rouelles. Chauffez 2 cuillères à soupe d'huile dans une poêle et faites-y fondre les oignons et les poivrons. Lorsqu'ils sont tendres, ajoutez les tomates, l'ail haché, le thym et le laurier. Salez, poivrez et laissez mijoter doucement à couvert durant 45 minutes. Pendant ce temps, préparez les aubergines et les courgettes. Faites les cuire séparemment ou non dans l'huile d'olive pendant 15 minutes. Vérifiez la cuisson des légumes pour qu'ils ne soient plus fermes. Ajoutez les alors au mélange de tomates et prolongez la cuisson sur tout petit feu pendant 10 min. Salez et poivrez si besoin.;11
plat;Pâte à pizza fine ;"['500 g de farine  ', '1 sachet de levure de boulangerie express ', '1 cuillère à café de sel  ', ""1/4 l d'eau tiède "", '1 cuillère à café de sucre  ']"; Verser la farine dans un grand saladier et y faire un puits. Verser la levure, le sel et le sucre dans un verre doseur. Ajouter 1/4 de litre d'eau tiède, bien mélanger. Couvrir d'un film plastique et laisser reposer environ 10 minutes (jusqu'à l'apparition d'une mousse brune bien épaisse en surface). Verser le mélange du verre doseur dans le saladier, mélanger à la main. Puis quand la pâte n'est plus collante pétrir environ 5 minutes à la main sur une surface farinée.Arroser d'un peu d'huile d'olive, puis pétrir à nouveau environ 5 minutes. Laisser reposer au moins 1 h sous un linge humide dans un endroit tiède (à côté d'un radiateur, d'une cheminée ou d'un poêle en hiver). Après repos, pétrir quelques instants puis diviser la pâte en trois boules égales (on peut en congeler).Etaler la pâte sur une surface farinée. Badigeonner la plaque d'un peu d'huile d'olive avant d'y appliquer la pâte.Cuisson 10 minutes à 220°C (thermostat 7-8).;5
